WT_VALUE01,WT_VALUE02,WT_VALUE03,CR_VALUE01,CR_VALUE02,CR_VALUE03,REPLAY_ATTACK,COMMAND_INJECTION,NORMAL_STATE
616,622,628,1,1,1,0,1,0
640,646,652,1,1,1,0,1,0
249,249,250,0,0,0,1,0,0
330,325,320,0,0,0,1,0,0
276,305,300,0,0,0,1,0,0
290,306,280,0,0,0,1,0,0
270,265,336,0,0,0,1,0,0
250,246,243,0,0,0,1,0,0
240,240,241,1,0,0,1,0,0
395,330,325,0,1,1,1,0,0
315,410,305,1,1,1,1,0,0
295,290,400,1,1,1,1,0,0
275,270,265,1,1,1,1,0,0
255,250,246,1,1,0,1,0,0
356,240,240,0,1,0,1,0,0
243,351,330,0,0,1,1,0,0
320,315,341,1,1,1,1,0,0
300,295,290,1,1,1,1,0,0
280,275,270,1,1,1,1,0,0
291,255,250,1,1,1,1,0,0
243,272,240,0,0,0,1,0,0
241,243,277,0,0,0,1,0,0
325,320,315,0,0,0,1,0,0
305,300,295,0,0,0,1,0,0
334,280,275,0,0,0,1,0,0
265,364,255,0,0,1,1,0,0
246,243,390,0,0,0,1,0,0
240,241,243,0,0,0,1,0,0
330,325,320,1,1,1,1,0,0
434,305,300,1,1,1,1,0,0
290,424,280,1,1,1,1,0,0
270,265,399,1,1,1,1,0,0
250,246,243,1,0,0,1,0,0
240,240,241,1,0,0,1,0,0
375,330,325,0,1,1,1,0,0
315,365,305,1,1,1,1,0,0
295,290,340,1,1,1,1,0,0
275,270,265,1,1,1,1,0,0
255,250,246,1,1,0,1,0,0
296,240,240,0,0,0,1,0,0
243,301,330,0,0,0,1,0,0
320,315,328,0,0,0,1,0,0
300,295,290,0,0,0,1,0,0
280,275,270,1,1,1,1,0,0
373,255,250,1,1,1,1,0,0
243,375,240,0,0,1,1,0,0
241,243,390,0,0,0,1,0,0
325,320,315,1,1,1,1,0,0
305,300,295,1,1,1,1,0,0
385,280,275,1,1,1,1,0,0
265,360,255,1,1,1,1,0,0
246,243,341,0,0,0,1,0,0
240,241,243,0,0,0,1,0,0
330,325,320,0,0,0,1,0,0
